pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
292,quick disability,2,2015,2025,363,0.271,0.352,skala,quickdash,False,False
293,mme,1,2019,2025,248,0.271,0.323,wynik,morphine milligram equivalent,False,False
294,registry,1,2019,2024,485,0.27,0.296,,,False,False
295,numerical rating scale,3,2017,2025,355,0.27,0.352,skala,numeric rating scale,False,False
296,surgical duration,2,2017,2025,298,0.27,0.538,wynik,,False,False
297,cochrane database,2,2017,2021,466,0.268,0.305,metoda,,False,False
298,eligibility criterion,2,2015,2022,435,0.268,0.346,metoda,,False,False
299,national database,2,2017,2023,343,0.268,0.384,metoda,,False,False
300,cutoff value,2,2016,2024,325,0.268,0.304,metoda,,False,False
301,mean bmi,2,2018,2025,325,0.267,0.38,metoda,,False,False
302,geriatric patient,2,2022,2024,383,0.265,0.318,czynnik,,False,False
303,30 day readmission,3,2015,2023,420,0.264,0.32,wynik,,False,False
304,cms,1,2015,2025,372,0.264,0.33,metoda,,False,False
305,fai,1,2012,2021,572,0.258,0.398,rozpoznanie,femoroacetabular impingement syndrome,True,False
306,cbct,1,2012,2023,360,0.258,0.296,technologia,cone beam computed tomography,True,False
307,predictive model,2,2018,2024,304,0.258,0.39,metoda,,False,False
308,csa,1,2019,2025,359,0.257,0.373,parametr,critical shoulder angle,False,False
309,two independent reviewer,3,2021,2025,357,0.257,0.287,metoda,,False,False
310,primary hip arthroscopy,3,2019,2021,256,0.257,0.292,technika,,True,False
311,psi,1,2013,2025,437,0.255,0.352,technologia,patient specific instrumentation,True,False
312,drf,1,2017,2023,341,0.255,0.336,rozpoznanie,distal radius fracture,True,False
313,significantly lower rate,3,2023,2025,310,0.255,0.373,metoda,,False,False
314,phf,1,2019,2025,273,0.255,0.337,rozpoznanie,proximal humerus fracture,True,False
315,koa,1,2020,2024,236,0.255,0.369,rozpoznanie,knee osteoarthritis,True,False
316,onfh,1,2018,2025,386,0.254,0.337,rozpoznanie,osteonecrosis of the femoral head,True,False
317,ais patient,2,2016,2025,348,0.254,0.38,rozpoznanie,,True,False
318,patient quality,2,2018,2025,380,0.252,0.352,metoda,,False,False
319,n s,2,2010,2018,605,0.251,0.404,metoda,,False,False
320,shorter operation time,3,2019,2022,386,0.251,0.287,metoda,,False,False
321,tobacco use,2,2018,2024,343,0.251,0.34,czynnik,,False,False
322,nine study,2,2017,2025,337,0.251,0.301,metoda,,False,False
323,systematic literature search,3,2018,2025,328,0.251,0.33,metoda,,False,False
324,2 cohort,2,2015,2023,352,0.25,0.328,metoda,,False,False
325,ka,1,2016,2025,296,0.25,0.337,technika,kinematic alignment,True,False
326,scoping review,2,2021,2025,210,0.25,0.344,metoda,,False,True
327,dm,1,2016,2025,318,0.248,0.287,rozpoznanie,diabetes mellitus,True,False
328,eligible study,2,2021,2025,342,0.247,0.474,metoda,,False,False
329,asd surgery,2,2017,2025,271,0.247,0.373,technika,adult spinal deformity surgery,True,False
330,surgical factor,2,2012,2025,368,0.245,0.287,metoda,,False,False
331,cumulative incidence,2,2017,2025,341,0.245,0.301,metoda,,False,False
332,intraoperative bleeding,2,2023,2023,306,0.245,0.384,wynik,,False,False
333,current procedural terminology code,4,2017,2024,360,0.244,0.34,metoda,,False,False
334,sane,1,2019,2025,296,0.244,0.258,skala,single assessment numeric evaluation,False,False
335,ssis,1,2015,2025,452,0.242,0.337,rozpoznanie,surgical site infection,True,False
336,dissemination,1,2016,2025,368,0.242,0.373,metoda,,False,False
337,multivariable logistic regression analysis,4,2016,2024,321,0.242,0.318,metoda,,False,False
338,cone beam computed tomography,4,2012,2025,411,0.241,0.323,technologia,,True,False
339,each cohort,2,2018,2025,283,0.241,0.294,metoda,,False,False
340,shared decision making,3,2019,2022,279,0.241,0.28,organizacja,,False,False
341,atsa,1,2020,2025,210,0.239,0.387,technika,anatomic total shoulder arthroplasty,True,False
342,adult spinal deformity surgery,4,2016,2025,288,0.238,0.309,technika,,True,True
343,aor,1,2019,2025,255,0.238,0.294,metoda,,False,False
344,significantly higher risk,3,2022,2025,351,0.236,0.344,,,False,False
